Gene stable ID	Transcript stable ID	Gene description	Gene type	Transcript type
WBGene00000254	K04F10.4d.1	Endoprotease bli-4  [Source:UniProtKB/Swiss-Prot;Acc:P51559]	protein_coding	protein_coding
WBGene00000254	K04F10.4d.2	Endoprotease bli-4  [Source:UniProtKB/Swiss-Prot;Acc:P51559]	protein_coding	protein_coding
WBGene00000254	K04F10.4e.1	Endoprotease bli-4  [Source:UniProtKB/Swiss-Prot;Acc:P51559]	protein_coding	protein_coding
WBGene00000254	K04F10.4e.2	Endoprotease bli-4  [Source:UniProtKB/Swiss-Prot;Acc:P51559]	protein_coding	protein_coding
WBGene00000254	K04F10.4f.1	Endoprotease bli-4  [Source:UniProtKB/Swiss-Prot;Acc:P51559]	protein_coding	protein_coding
WBGene00000254	K04F10.4f.2	Endoprotease bli-4  [Source:UniProtKB/Swiss-Prot;Acc:P51559]	protein_coding	protein_coding
WBGene00000255	F45G2.5	BLIstered cuticle  [Source:RefSeq peptide;Acc:NP_499772]	protein_coding	protein_coding
WBGene00000256	Y73B6BL.34	BLIstered cuticle  [Source:RefSeq peptide;Acc:NP_741423]	protein_coding	protein_coding
WBGene00000257	F23B12.8a.1	Kinesin-like protein  [Source:RefSeq peptide;Acc:NP_001256586]	protein_coding	protein_coding
WBGene00000257	F23B12.8a.2	Kinesin-like protein  [Source:RefSeq peptide;Acc:NP_001256586]	protein_coding	protein_coding
WBGene00000257	F23B12.8b	Kinesin-like protein  [Source:RefSeq peptide;Acc:NP_001256586]	protein_coding	protein_coding
WBGene00000259	F13H8.10a	Biotin Protein Ligase  [Source:RefSeq peptide;Acc:NP_871920]	protein_coding	protein_coding
WBGene00000259	F13H8.10b	Biotin Protein Ligase  [Source:RefSeq peptide;Acc:NP_871920]	protein_coding	protein_coding
WBGene00000259	F13H8.10c.1	Biotin Protein Ligase  [Source:RefSeq peptide;Acc:NP_871920]	protein_coding	protein_coding
WBGene00000259	F13H8.10c.2	Biotin Protein Ligase  [Source:RefSeq peptide;Acc:NP_871920]	protein_coding	protein_coding
WBGene00000262	F54B11.6	BMP Receptor Associated protein family  [Source:RefSeq peptide;Acc:NP_510277]	protein_coding	protein_coding
WBGene00000263	F23H11.5.1		protein_coding	protein_coding
WBGene00000263	F23H11.5.2		protein_coding	protein_coding
WBGene00000264	C36A4.8a	BRCa homolog (tumor suppressor gene Brca1)  [Source:RefSeq peptide;Acc:NP_001254881]	protein_coding	protein_coding
WBGene00000264	C36A4.8b	BRCa homolog (tumor suppressor gene Brca1)  [Source:RefSeq peptide;Acc:NP_001254881]	protein_coding	protein_coding
WBGene00000265	K04C2.4.1	BRCA1-associated RING domain protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21209]	protein_coding	protein_coding
WBGene00000265	K04C2.4.2	BRCA1-associated RING domain protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21209]	protein_coding	protein_coding
WBGene00000265	K04C2.4.3	BRCA1-associated RING domain protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21209]	protein_coding	protein_coding
WBGene00000266	C53B4.7a.1	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000266	C53B4.7a.2	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000266	C53B4.7b	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000266	C53B4.7c.1	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000266	C53B4.7c.2	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000266	C53B4.7c.3	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000266	C53B4.7d	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000266	C53B4.7e	GDP-mannose 4,6 dehydratase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18801]	protein_coding	protein_coding
WBGene00000267	Y39E4B.9a	Beta-1,3-galactosyltransferase bre-2  [Source:UniProtKB/Swiss-Prot;Acc:Q6QMT2]	protein_coding	protein_coding
WBGene00000267	Y39E4B.9b	Beta-1,3-galactosyltransferase bre-2  [Source:UniProtKB/Swiss-Prot;Acc:Q6QMT2]	protein_coding	protein_coding
WBGene00000267	Y39E4B.9c	Beta-1,3-galactosyltransferase bre-2  [Source:UniProtKB/Swiss-Prot;Acc:Q6QMT2]	protein_coding	protein_coding
WBGene00000267	Y39E4B.9d	Beta-1,3-galactosyltransferase bre-2  [Source:UniProtKB/Swiss-Prot;Acc:Q6QMT2]	protein_coding	protein_coding
WBGene00000268	B0464.4a.1	Beta-1,4-mannosyltransferase bre-3  [Source:UniProtKB/Swiss-Prot;Acc:Q03562]	protein_coding	protein_coding
WBGene00000268	B0464.4a.2	Beta-1,4-mannosyltransferase bre-3  [Source:UniProtKB/Swiss-Prot;Acc:Q03562]	protein_coding	protein_coding
WBGene00000268	B0464.4b	Beta-1,4-mannosyltransferase bre-3  [Source:UniProtKB/Swiss-Prot;Acc:Q03562]	protein_coding	ncRNA
WBGene00000269	Y73E7A.7a	Beta-1,4-N-acetylgalactosaminyltransferase bre-4  [Source:UniProtKB/Swiss-Prot;Acc:Q9GUM2]	protein_coding	protein_coding
WBGene00000269	Y73E7A.7b	Beta-1,4-N-acetylgalactosaminyltransferase bre-4  [Source:UniProtKB/Swiss-Prot;Acc:Q9GUM2]	protein_coding	protein_coding
WBGene00000270	T12G3.8a	Beta-1,3-galactosyltransferase bre-5  [Source:UniProtKB/Swiss-Prot;Acc:Q95US5]	protein_coding	protein_coding
WBGene00000270	T12G3.8b	Beta-1,3-galactosyltransferase bre-5  [Source:UniProtKB/Swiss-Prot;Acc:Q95US5]	protein_coding	protein_coding
WBGene00000271	F45E12.2	BRF (transcription factor) homolog  [Source:RefSeq peptide;Acc:NP_495526]	protein_coding	protein_coding
WBGene00000272	F56A3.5	BROther (Drosophila tx factor partner) homolog  [Source:RefSeq peptide;Acc:NP_491542]	protein_coding	protein_coding
WBGene00000273	Y79H2A.1a	Bypass of Response to Pheromone in yeast  [Source:RefSeq peptide;Acc:NP_001022952]	protein_coding	protein_coding
WBGene00000273	Y79H2A.1b	Bypass of Response to Pheromone in yeast  [Source:RefSeq peptide;Acc:NP_001022952]	protein_coding	protein_coding
WBGene00000273	Y79H2A.1c	Bypass of Response to Pheromone in yeast  [Source:RefSeq peptide;Acc:NP_001022952]	protein_coding	protein_coding
WBGene00000273	Y79H2A.1d	Bypass of Response to Pheromone in yeast  [Source:RefSeq peptide;Acc:NP_001022952]	protein_coding	protein_coding
WBGene00000273	Y79H2A.1e	Bypass of Response to Pheromone in yeast  [Source:RefSeq peptide;Acc:NP_001022952]	protein_coding	protein_coding
WBGene00000274	F15D4.1	BTAF (TBP-associated factor) homolog  [Source:RefSeq peptide;Acc:NP_496802]	protein_coding	protein_coding
WBGene00000275	R06C7.8	Mitotic checkpoint serine/threonine-protein kinase BUB1  [Source:UniProtKB/Swiss-Prot;Acc:Q21776]	protein_coding	protein_coding
WBGene00000276	F57B9.5	Cell adhesion protein byn-1  [Source:UniProtKB/Swiss-Prot;Acc:Q20932]	protein_coding	protein_coding
WBGene00000277	C23H4.1.1		protein_coding	protein_coding
WBGene00000277	C23H4.1.2		protein_coding	protein_coding
WBGene00000277	C23H4.1.3		protein_coding	protein_coding
WBGene00000277	C23H4.1.4		protein_coding	protein_coding
WBGene00000279	F54D8.4	Putative carbonic anhydrase-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20781]	protein_coding	protein_coding
WBGene00000280	D1022.8	Putative carbonic anhydrase-like protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q18932]	protein_coding	protein_coding
WBGene00000281	K05G3.3	Putative carbonic anhydrase 3  [Source:UniProtKB/Swiss-Prot;Acc:Q27504]	protein_coding	protein_coding
WBGene00000282	R01E6.3a	Carbonic AnHydrase  [Source:RefSeq peptide;Acc:NP_510265]	protein_coding	protein_coding
WBGene00000282	R01E6.3b	Carbonic AnHydrase  [Source:RefSeq peptide;Acc:NP_510265]	protein_coding	protein_coding
WBGene00000283	R173.1	Putative carbonic anhydrase 5  [Source:UniProtKB/Swiss-Prot;Acc:Q10462]	protein_coding	protein_coding
WBGene00000284	T28F2.3	Carbonic AnHydrase  [Source:RefSeq peptide;Acc:NP_491189]	protein_coding	protein_coding
WBGene00000285	C13C12.1a	Calmodulin-like protein  [Source:UniProtKB/Swiss-Prot;Acc:P04630]	protein_coding	protein_coding
WBGene00000285	C13C12.1b	Calmodulin-like protein  [Source:UniProtKB/Swiss-Prot;Acc:P04630]	protein_coding	protein_coding
WBGene00000286	C18E9.1	CALmodulin related genes  [Source:RefSeq peptide;Acc:NP_495906]	protein_coding	protein_coding
WBGene00000287	M02B7.6a	CALmodulin related genes  [Source:RefSeq peptide;Acc:NP_500421]	protein_coding	protein_coding
WBGene00000287	M02B7.6b	CALmodulin related genes  [Source:RefSeq peptide;Acc:NP_500421]	protein_coding	protein_coding
WBGene00000288	T07G12.1a	CALmodulin related genes  [Source:RefSeq peptide;Acc:NP_001255491]	protein_coding	protein_coding
WBGene00000288	T07G12.1b	CALmodulin related genes  [Source:RefSeq peptide;Acc:NP_001255491]	protein_coding	protein_coding
WBGene00000288	T07G12.1c	CALmodulin related genes  [Source:RefSeq peptide;Acc:NP_001255491]	protein_coding	protein_coding
WBGene00000289	C01G6.8a	Tyrosine-protein kinase receptor cam-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGK5]	protein_coding	protein_coding
WBGene00000289	C01G6.8b	Tyrosine-protein kinase receptor cam-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGK5]	protein_coding	protein_coding
WBGene00000289	C01G6.8c	Tyrosine-protein kinase receptor cam-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGK5]	protein_coding	protein_coding
WBGene00000292	D2024.6	F-actin-capping protein subunit alpha  [Source:UniProtKB/Swiss-Prot;Acc:P34685]	protein_coding	protein_coding
WBGene00000293	M106.5	F-actin-capping protein subunit beta  [Source:UniProtKB/Swiss-Prot;Acc:P34686]	protein_coding	protein_coding
WBGene00000294	F41G4.2a	Adenylyl cyclase-associated protein  [Source:RefSeq peptide;Acc:NP_510714]	protein_coding	protein_coding
WBGene00000294	F41G4.2b.1	Adenylyl cyclase-associated protein  [Source:RefSeq peptide;Acc:NP_510714]	protein_coding	protein_coding
WBGene00000294	F41G4.2b.2	Adenylyl cyclase-associated protein  [Source:RefSeq peptide;Acc:NP_510714]	protein_coding	protein_coding
WBGene00000295	W01C8.6a		protein_coding	protein_coding
WBGene00000295	W01C8.6b		protein_coding	protein_coding
WBGene00000296	B0432.5a	Tyrosine 3-monooxygenase  [Source:UniProtKB/Swiss-Prot;Acc:P90986]	protein_coding	protein_coding
WBGene00000296	B0432.5b	Tyrosine 3-monooxygenase  [Source:UniProtKB/Swiss-Prot;Acc:P90986]	protein_coding	protein_coding
WBGene00000296	B0432.5c	Tyrosine 3-monooxygenase  [Source:UniProtKB/Swiss-Prot;Acc:P90986]	protein_coding	protein_coding
WBGene00000298	F32G8.6	GTP cyclohydrolase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q19980]	protein_coding	protein_coding
WBGene00000301	T13F2.8a	Caveolin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94051]	protein_coding	protein_coding
WBGene00000301	T13F2.8b	Caveolin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94051]	protein_coding	protein_coding
WBGene00000302	C56A3.7a	Caveolin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18879]	protein_coding	protein_coding
WBGene00000302	C56A3.7b	Caveolin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18879]	protein_coding	protein_coding
WBGene00000302	C56A3.7c	Caveolin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18879]	protein_coding	protein_coding
WBGene00000302	C56A3.7d	Caveolin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18879]	protein_coding	protein_coding
WBGene00000308	C04A11.t1		tRNA	tRNA
WBGene00000310	C05C9.t1		tRNA	tRNA
WBGene00000311	C05C9.t2		tRNA	tRNA
WBGene00000366	R10E11.1a		protein_coding	protein_coding
WBGene00000366	R10E11.1b		protein_coding	protein_coding
WBGene00000366	R10E11.1c		protein_coding	protein_coding
WBGene00000367	C54D2.5a	Calcium Channel, Alpha subunit  [Source:RefSeq peptide;Acc:NP_741848]	protein_coding	protein_coding
WBGene00000367	C54D2.5c	Calcium Channel, Alpha subunit  [Source:RefSeq peptide;Acc:NP_741848]	protein_coding	protein_coding
WBGene00000367	C54D2.5d	Calcium Channel, Alpha subunit  [Source:RefSeq peptide;Acc:NP_741848]	protein_coding	protein_coding
WBGene00000367	C54D2.5e	Calcium Channel, Alpha subunit  [Source:RefSeq peptide;Acc:NP_741848]	protein_coding	protein_coding
WBGene00000367	C54D2.5g	Calcium Channel, Alpha subunit  [Source:RefSeq peptide;Acc:NP_741848]	protein_coding	protein_coding
WBGene00000368	T28F2.5	Calcium Channel, Beta subunit  [Source:RefSeq peptide;Acc:NP_491193]	protein_coding	protein_coding
WBGene00000369	Y56A3A.20	CCR4-NOT transcription complex subunit 7  [Source:UniProtKB/Swiss-Prot;Acc:Q17345]	protein_coding	protein_coding
WBGene00000370	Y73F8A.6	Conserved Cysteine/Glycine domain protein  [Source:RefSeq peptide;Acc:NP_502842]	protein_coding	protein_coding
WBGene00000371	F26E4.9.1	Cytochrome C Oxidase  [Source:RefSeq peptide;Acc:NP_492601]	protein_coding	protein_coding
WBGene00000371	F26E4.9.2	Cytochrome C Oxidase  [Source:RefSeq peptide;Acc:NP_492601]	protein_coding	protein_coding
WBGene00000371	F26E4.9.3	Cytochrome C Oxidase  [Source:RefSeq peptide;Acc:NP_492601]	protein_coding	protein_coding
WBGene00000372	T10B9.10	Putative cytochrome P450 CYP13A7  [Source:UniProtKB/Swiss-Prot;Acc:Q27519]	protein_coding	protein_coding
WBGene00000373	F08F3.7	CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_504435]	protein_coding	protein_coding
WBGene00000374	C01F6.3		pseudogene	pseudogene
WBGene00000375	ZK177.5.1	Probable cytochrome P450 CYP44  [Source:UniProtKB/Swiss-Prot;Acc:Q09660]	protein_coding	protein_coding
WBGene00000375	ZK177.5.2	Probable cytochrome P450 CYP44  [Source:UniProtKB/Swiss-Prot;Acc:Q09660]	protein_coding	protein_coding
WBGene00000376	ZC518.3a	CCR (yeast CCR4/NOT complex component) homolog  [Source:RefSeq peptide;Acc:NP_001023607]	protein_coding	protein_coding
WBGene00000376	ZC518.3b	CCR (yeast CCR4/NOT complex component) homolog  [Source:RefSeq peptide;Acc:NP_001023607]	protein_coding	protein_coding
WBGene00000376	ZC518.3c.1	CCR (yeast CCR4/NOT complex component) homolog  [Source:RefSeq peptide;Acc:NP_001023607]	protein_coding	protein_coding
WBGene00000376	ZC518.3c.2	CCR (yeast CCR4/NOT complex component) homolog  [Source:RefSeq peptide;Acc:NP_001023607]	protein_coding	protein_coding
WBGene00000376	ZC518.3d	CCR (yeast CCR4/NOT complex component) homolog  [Source:RefSeq peptide;Acc:NP_001023607]	protein_coding	protein_coding
WBGene00000376	ZC518.3e	CCR (yeast CCR4/NOT complex component) homolog  [Source:RefSeq peptide;Acc:NP_001023607]	protein_coding	protein_coding
WBGene00000377	T05C12.7	T-complex protein 1 subunit alpha  [Source:UniProtKB/Swiss-Prot;Acc:P41988]	protein_coding	protein_coding
WBGene00000378	T21B10.7.1	T-complex protein 1 subunit beta  [Source:UniProtKB/Swiss-Prot;Acc:P47207]	protein_coding	protein_coding
WBGene00000378	T21B10.7.2	T-complex protein 1 subunit beta  [Source:UniProtKB/Swiss-Prot;Acc:P47207]	protein_coding	protein_coding
WBGene00000379	K01C8.10.1	T-complex protein 1 subunit delta  [Source:UniProtKB/Swiss-Prot;Acc:P47208]	protein_coding	protein_coding
WBGene00000379	K01C8.10.2	T-complex protein 1 subunit delta  [Source:UniProtKB/Swiss-Prot;Acc:P47208]	protein_coding	protein_coding
WBGene00000380	C07G2.3a.1	T-complex protein 1 subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:P47209]	protein_coding	protein_coding
WBGene00000380	C07G2.3a.2	T-complex protein 1 subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:P47209]	protein_coding	protein_coding
WBGene00000380	C07G2.3b.1	T-complex protein 1 subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:P47209]	protein_coding	protein_coding
WBGene00000380	C07G2.3b.2	T-complex protein 1 subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:P47209]	protein_coding	protein_coding
WBGene00000380	C07G2.3b.3	T-complex protein 1 subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:P47209]	protein_coding	protein_coding
WBGene00000380	C07G2.3b.4	T-complex protein 1 subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:P47209]	protein_coding	protein_coding
WBGene00000380	C07G2.3b.5	T-complex protein 1 subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:P47209]	protein_coding	protein_coding
WBGene00000381	F01F1.8a.1	T-complex protein 1 subunit zeta  [Source:UniProtKB/Swiss-Prot;Acc:P46550]	protein_coding	protein_coding
WBGene00000381	F01F1.8a.2	T-complex protein 1 subunit zeta  [Source:UniProtKB/Swiss-Prot;Acc:P46550]	protein_coding	protein_coding
WBGene00000381	F01F1.8b.1	T-complex protein 1 subunit zeta  [Source:UniProtKB/Swiss-Prot;Acc:P46550]	protein_coding	protein_coding
WBGene00000381	F01F1.8b.2	T-complex protein 1 subunit zeta  [Source:UniProtKB/Swiss-Prot;Acc:P46550]	protein_coding	protein_coding
WBGene00000382	C43E11.10	Cell Division Cycle related  [Source:RefSeq peptide;Acc:NP_491343]	protein_coding	protein_coding
WBGene00000383	C17G10.4a	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4b.1	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4b.2	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4c	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4d	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4e	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4f.1	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4f.2	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4g	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4h	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4i.1	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000383	C17G10.4i.2	Probable tyrosine-protein phosphatase cdc-14  [Source:UniProtKB/Swiss-Prot;Acc:P81299]	protein_coding	protein_coding
WBGene00000386	K06A5.7.1	M-phase inducer phosphatase cdc-25.1  [Source:UniProtKB/Swiss-Prot;Acc:O44552]	protein_coding	protein_coding
WBGene00000386	K06A5.7.2	M-phase inducer phosphatase cdc-25.1  [Source:UniProtKB/Swiss-Prot;Acc:O44552]	protein_coding	protein_coding
WBGene00000387	F16B4.8a	M-phase inducer phosphatase cdc-25.2  [Source:UniProtKB/Swiss-Prot;Acc:O44628]	protein_coding	protein_coding
WBGene00000387	F16B4.8b	M-phase inducer phosphatase cdc-25.2  [Source:UniProtKB/Swiss-Prot;Acc:O44628]	protein_coding	protein_coding
WBGene00000387	F16B4.8c	M-phase inducer phosphatase cdc-25.2  [Source:UniProtKB/Swiss-Prot;Acc:O44628]	protein_coding	protein_coding
WBGene00000387	F16B4.8d	M-phase inducer phosphatase cdc-25.2  [Source:UniProtKB/Swiss-Prot;Acc:O44628]	protein_coding	ncRNA
WBGene00000388	ZK637.11	M-phase inducer phosphatase cdc-25.3  [Source:UniProtKB/Swiss-Prot;Acc:P30634]	protein_coding	protein_coding
WBGene00000389	R05H5.2	Cell Division Cycle related  [Source:RefSeq peptide;Acc:NP_496197]	protein_coding	protein_coding
WBGene00000390	R07G3.1	Cell division control protein 42 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q05062]	protein_coding	protein_coding
WBGene00000391	C47D2.2	CytiDine Deaminase  [Source:RefSeq peptide;Acc:NP_509384]	protein_coding	protein_coding
WBGene00000392	F49E8.4	CytiDine Deaminase  [Source:RefSeq peptide;Acc:NP_501221]	protein_coding	protein_coding
WBGene00000393	C15B12.7a	Cation diffusion facilitator family protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q95QW4]	protein_coding	protein_coding
WBGene00000393	C15B12.7b	Cation diffusion facilitator family protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q95QW4]	protein_coding	protein_coding
WBGene00000393	C15B12.7c	Cation diffusion facilitator family protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q95QW4]	protein_coding	protein_coding
WBGene00000395	ZK112.7	Cadherin-3  [Source:UniProtKB/Swiss-Prot;Acc:P34616]	protein_coding	protein_coding
WBGene00000396	F25F2.2a	Cadherin-4  [Source:UniProtKB/Swiss-Prot;Acc:Q19319]	protein_coding	protein_coding
WBGene00000396	F25F2.2b	Cadherin-4  [Source:UniProtKB/Swiss-Prot;Acc:Q19319]	protein_coding	protein_coding
WBGene00000397	F08B4.2a	CaDHerin family  [Source:RefSeq peptide;Acc:NP_501486]	protein_coding	protein_coding
WBGene00000397	F08B4.2b	CaDHerin family  [Source:RefSeq peptide;Acc:NP_501486]	protein_coding	protein_coding
WBGene00000397	F08B4.2c	CaDHerin family  [Source:RefSeq peptide;Acc:NP_501486]	protein_coding	protein_coding
WBGene00000397	F08B4.2d	CaDHerin family  [Source:RefSeq peptide;Acc:NP_501486]	protein_coding	protein_coding
WBGene00000399	R05H10.6	CaDHerin family  [Source:RefSeq peptide;Acc:NP_497075]	protein_coding	protein_coding
WBGene00000401	F59C12.1	CaDHerin family  [Source:RefSeq peptide;Acc:NP_510685]	protein_coding	protein_coding
WBGene00000402	C45G7.5	CaDHerin family  [Source:RefSeq peptide;Acc:NP_500204]	protein_coding	protein_coding
WBGene00000403	B0034.3a	CAlSYntenin/Alcadein homolog  [Source:RefSeq peptide;Acc:NP_001021110]	protein_coding	protein_coding
WBGene00000403	B0034.3b	CAlSYntenin/Alcadein homolog  [Source:RefSeq peptide;Acc:NP_001021110]	protein_coding	protein_coding
WBGene00000403	B0034.3c	CAlSYntenin/Alcadein homolog  [Source:RefSeq peptide;Acc:NP_001021110]	protein_coding	protein_coding
WBGene00000405	T05G5.3.1	Cyclin-dependent kinase 1  [Source:UniProtKB/Swiss-Prot;Acc:P34556]	protein_coding	protein_coding
WBGene00000405	T05G5.3.2	Cyclin-dependent kinase 1  [Source:UniProtKB/Swiss-Prot;Acc:P34556]	protein_coding	protein_coding
WBGene00000406	F18H3.5a	Cyclin-dependent kinase 4 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTR1]	protein_coding	protein_coding
WBGene00000406	F18H3.5b	Cyclin-dependent kinase 4 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTR1]	protein_coding	protein_coding
WBGene00000407	T27E9.3	Cyclin-dependent-like kinase 5  [Source:UniProtKB/Swiss-Prot;Acc:G5ECH7]	protein_coding	protein_coding
WBGene00000408	Y39G10AL.3.1	Cyclin-dependent kinase 7  [Source:UniProtKB/Swiss-Prot;Acc:G5EFV5]	protein_coding	protein_coding
WBGene00000408	Y39G10AL.3.2	Cyclin-dependent kinase 7  [Source:UniProtKB/Swiss-Prot;Acc:G5EFV5]	protein_coding	protein_coding
WBGene00000409	F39H11.3	Cyclin-dependent kinase 8  [Source:UniProtKB/Swiss-Prot;Acc:P90866]	protein_coding	protein_coding
WBGene00000410	H25P06.2a	Probable cyclin-dependent kinase 9  [Source:UniProtKB/Swiss-Prot;Acc:Q9TVL3]	protein_coding	protein_coding
WBGene00000410	H25P06.2b	Probable cyclin-dependent kinase 9  [Source:UniProtKB/Swiss-Prot;Acc:Q9TVL3]	protein_coding	protein_coding
WBGene00000411	R06F6.1	Histone RNA hairpin-binding protein  [Source:UniProtKB/Swiss-Prot;Acc:Q09599]	protein_coding	protein_coding
WBGene00000412	F35E8.11	CaDmium Responsive  [Source:RefSeq peptide;Acc:NP_506986]	protein_coding	protein_coding
WBGene00000413	Y54E10A.15	CDT (S. pombe CDC10 Dependent Transcript) homolog  [Source:RefSeq peptide;Acc:NP_001040707]	protein_coding	protein_coding
WBGene00000414	ZK1236.2	Chromo domain-containing protein cec-1  [Source:UniProtKB/Swiss-Prot;Acc:P34618]	protein_coding	protein_coding
WBGene00000415	Y47H9C.4a	Cell death abnormality protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWD6]	protein_coding	protein_coding
WBGene00000415	Y47H9C.4b	Cell death abnormality protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWD6]	protein_coding	protein_coding
WBGene00000415	Y47H9C.4c	Cell death abnormality protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWD6]	protein_coding	protein_coding
WBGene00000415	Y47H9C.4d	Cell death abnormality protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWD6]	protein_coding	protein_coding
WBGene00000416	Y41D4B.13a	Cell death abnormality protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9NHC3]	protein_coding	protein_coding
WBGene00000416	Y41D4B.13b	Cell death abnormality protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9NHC3]	protein_coding	protein_coding
WBGene00000416	Y41D4B.13c	Cell death abnormality protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9NHC3]	protein_coding	protein_coding
WBGene00000417	C48D1.2a	Cell death protein 3 Cell death protein 3 subunit 1 Cell death protein 3 subunit 2 [Source:UniProtKB/Swiss-Prot;Acc:P42573]	protein_coding	protein_coding
WBGene00000417	C48D1.2b	Cell death protein 3 Cell death protein 3 subunit 1 Cell death protein 3 subunit 2 [Source:UniProtKB/Swiss-Prot;Acc:P42573]	protein_coding	protein_coding
WBGene00000418	C35D10.9a	Cell death protein 4  [Source:UniProtKB/Swiss-Prot;Acc:P30429]	protein_coding	protein_coding
WBGene00000418	C35D10.9b	Cell death protein 4  [Source:UniProtKB/Swiss-Prot;Acc:P30429]	protein_coding	protein_coding
WBGene00000419	C02F4.1	CED-5; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G5EEN3]	protein_coding	protein_coding
